#num_of_iter: 50
#num_of_exper: 20
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.4
#p_1_neighb: 0.0
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.50
#allD: 0.50
#kD: 0.00
#kC: 0.00
#kDC: 0.00
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
# 


#Experiment 1 

#seed: 1976547115
#iter           f_C      f_C_corr        av_sum        f_allC        f_allD          f_kD          f_kC         f_kDC    f_strat_ch          f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C         f_0DC         f_1DC         f_2DC         f_3DC         f_4DC         f_5DC         f_6DC         f_7DC         f_8DC  
 48          0.1665        0.0473       -0.2681         0.005         0.995           0.0           0.0           0.0        0.6844           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 49          0.1757        0.0296       -0.2527        0.0054        0.9946           0.0           0.0           0.0        0.6982           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 50          0.1722        0.0444       -0.2673        0.0046        0.9954           0.0           0.0           0.0        0.6671           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  


#Experiment 2 

#seed: 1976547115
#iter           f_C      f_C_corr        av_sum        f_allC        f_allD          f_kD          f_kC         f_kDC    f_strat_ch          f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C         f_0DC         f_1DC         f_2DC         f_3DC         f_4DC         f_5DC         f_6DC         f_7DC         f_8DC  
 0           0.5013        0.0163        0.1704        0.4856        0.5144           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 1            0.486        0.0163        0.2067        0.4694        0.5306           0.0           0.0           0.0        0.8001           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 2           0.4698        0.0118       -0.0817        0.3449        0.6551           0.0           0.0           0.0        0.8078           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 3           0.3783        0.0473       -0.0287        0.2138        0.7862           0.0           0.0           0.0        0.8258           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 4           0.2714        0.0325       -0.0752        0.1057        0.8943           0.0           0.0           0.0        0.8143           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 5           0.1988        0.0873       -0.0692        0.0527        0.9473           0.0           0.0           0.0        0.7901           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 6           0.1676        0.0695       -0.1522        0.0273        0.9727           0.0           0.0           0.0        0.7893           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
