#num_of_iter: 500
#num_of_exper: 1
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.30
#p_1_neighb: 0.10
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
# 


#Experiment 1 

#seed: 944504714
#iter           f_C      f_C_corr        av_sum        f_allC        f_allD          f_kD          f_kC         f_kDC    f_strat_ch          f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C         f_0DC         f_1DC         f_2DC         f_3DC         f_4DC         f_5DC         f_6DC         f_7DC         f_8DC  
 48          0.2153         0.179       -0.0161           0.0        0.3622        0.0754         0.158        0.4045         0.752         0.301        0.4031        0.2959           0.0           0.0           0.0           0.0           0.0           0.0        0.9684           0.0        0.0219           0.0           0.0           0.0        0.0097           0.0           0.0           0.0        0.0067           0.0           0.0           0.0           0.0        0.0067        0.8859        0.1008  
 49          0.1899        0.1775       -0.1163           0.0        0.3537        0.0773         0.148         0.421         0.767        0.3433        0.3731        0.2836           0.0           0.0           0.0           0.0           0.0           0.0        0.9844           0.0        0.0052           0.0           0.0           0.0        0.0104           0.0           0.0           0.0        0.0073           0.0           0.0           0.0           0.0        0.0037        0.8877        0.1014  
 50          0.2184        0.1938       -0.0316           0.0        0.3464        0.0819        0.1538        0.4179        0.7574        0.3052        0.3615        0.3333           0.0           0.0           0.0           0.0           0.0           0.0         0.995           0.0        0.0025           0.0           0.0           0.0        0.0025           0.0           0.0           0.0        0.0074           0.0           0.0           0.0           0.0        0.0009        0.8988        0.0929  
 51          0.1942         0.182       -0.0977           0.0        0.3403        0.0807        0.1496        0.4295        0.7659        0.3286        0.3571        0.3143           0.0           0.0           0.0           0.0           0.0           0.0        0.9974           0.0           0.0           0.0           0.0           0.0        0.0026           0.0           0.0           0.0        0.0054           0.0           0.0           0.0           0.0        0.0009        0.9033        0.0904  
 52          0.2188         0.182        0.0188           0.0        0.3418          0.08         0.158        0.4202        0.7505        0.3269        0.3654        0.3077           0.0           0.0           0.0           0.0           0.0           0.0        0.9903           0.0           0.0           0.0           0.0           0.0        0.0097           0.0           0.0           0.0        0.0055           0.0           0.0           0.0           0.0        0.0046        0.8984        0.0915  
 53          0.1938        0.1731       -0.1032           0.0        0.3372        0.0773        0.1522        0.4333        0.7662        0.3284        0.3134        0.3582           0.0           0.0           0.0           0.0           0.0           0.0        0.9874           0.0           0.0           0.0           0.0           0.0        0.0126           0.0           0.0           0.0        0.0035           0.0           0.0           0.0           0.0        0.0071        0.8882        0.1012  
 54          0.2168        0.1953       -0.0224           0.0         0.341        0.0707        0.1603        0.4279        0.7447        0.3261         0.337         0.337           0.0           0.0           0.0           0.0           0.0           0.0        0.9976           0.0           0.0           0.0           0.0           0.0        0.0024           0.0           0.0           0.0        0.0054           0.0           0.0           0.0           0.0         0.009        0.8895        0.0961  
 55          0.1972        0.1775       -0.0756           0.0        0.3264        0.0711        0.1561        0.4464        0.7662        0.3135        0.3784        0.3081           0.0           0.0           0.0           0.0           0.0           0.0        0.9951           0.0           0.0           0.0           0.0           0.0        0.0049           0.0           0.0           0.0        0.0086           0.0           0.0           0.0           0.0        0.0069        0.8734        0.1111  
 56          0.2099        0.1849       -0.0519           0.0        0.3214        0.0707        0.1611        0.4468        0.7682        0.3315        0.3424        0.3261           0.0           0.0           0.0           0.0           0.0           0.0        0.9857           0.0           0.0           0.0           0.0           0.0        0.0143           0.0           0.0           0.0        0.0138           0.0           0.0           0.0           0.0        0.0052        0.8847        0.0964  
 57           0.203        0.1893       -0.0639           0.0        0.3133        0.0657        0.1626        0.4583         0.762        0.3684        0.2924        0.3392           0.0           0.0           0.0           0.0           0.0           0.0        0.9882           0.0           0.0           0.0           0.0           0.0        0.0118           0.0           0.0           0.0        0.0092           0.0           0.0           0.0           0.0        0.0092        0.8918        0.0898  
